ORDER_DATE,CAR_NUM,VISIT_ORDER,LAT,LON
20220424,CB01,1,1.30777,103.79671
20220424,CB01,2,1.31762,103.77861
20220424,CB01,3,1.33702,103.77943
20220424,CB01,4,1.32645,103.7903
20220424,CB01,5,1.35584,103.74227
20220424,CB01,6,1.34095,103.77299
20220424,CB01,7,1.3341,103.76631
20220424,CB01,8,1.31895,103.89445
20220424,CB02,0,1.31895,103.89445
20220424,CB02,1,1.34413,103.7592
20220424,CB02,2,1.35295,103.75912
20220424,CB02,3,1.35697,103.76159
20220424,CB02,4,1.35258,103.74322
20220424,CB02,5,1.35282,103.74041
20220424,CB02,6,1.3546,103.73969
20220424,CB02,7,1.35584,103.74227
20220424,CB02,8,1.34352,103.75585
20220424,CB02,9,1.33863,103.75674
20220424,CB02,10,1.33927,103.75689
20220424,CB02,11,1.34024,103.75671
20220424,CB02,12,1.33798,103.75851
20220424,CB02,13,1.3428,103.75242
20220424,CB02,14,1.33794,103.75887
20220424,CB02,15,1.33827,103.75864
20220424,CB02,16,1.31895,103.89445
20220424,CA02,0,1.31895,103.89445
20220424,CA02,1,1.33864,103.89859
20220424,CA02,2,1.33292,103.90428
20220424,CA02,3,1.33439,103.90381
20220424,CA02,4,1.33518,103.90337
20220424,CA02,5,1.33566,103.90882
20220424,CA02,6,1.33693,103.90568
20220424,CA02,7,1.33606,103.90651
20220424,CA02,8,1.33534,103.90196
20220424,CA02,9,1.33568,103.90559
20220424,CA02,10,1.33306,103.90205
20220424,CA02,11,1.33656,103.90951
20220424,CA02,12,1.33738,103.91288
20220424,CA02,13,1.33841,103.90579
20220424,CA02,14,1.33166,103.89682
20220424,CA02,15,1.33166,103.89682
20220424,CA02,16,1.33166,103.89682
20220424,CA02,17,1.33181,103.89705
20220424,CA02,18,1.33532,103.90257
20220424,CA02,19,1.33471,103.90099
20220424,CA02,20,1.33461,103.90093
20220424,CA02,21,1.31895,103.89445
20220424,CA03,0,1.31895,103.89445
20220424,CA03,1,1.33085,103.92804
20220424,CA03,2,1.35208,103.81984
20220424,CA03,3,1.33114,103.93973
20220424,CA03,4,1.33261,103.93853
20220424,CA03,5,1.32042,103.95064
20220424,CA03,6,1.31557,103.94151
20220424,CA03,7,1.31368,103.9384
20220424,CA03,8,1.32154,103.9312
20220424,CA03,9,1.32303,103.93667
20220424,CA03,10,1.32771,103.94985
20220424,CA03,11,1.31304,103.92738
20220424,CA03,12,1.31304,103.92738
20220424,CA03,13,1.33216,103.96208
20220424,CA03,14,1.33216,103.96208
20220424,CA03,15,1.46624,103.8081
20220424,CA03,16,1.3335,103.96997
20220424,CA03,17,1.31997,103.95143
20220424,CA03,18,1.3335,103.96997
